2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-18 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-18 sampler: Post 1 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-6 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-75 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-75 sampler: Home Page 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-31 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-66 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-38 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-38 sampler: Post 1 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-25 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-74 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-74 sampler: Home Page 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-61 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
